File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13Q1_061__250m_16_days_EVI_doy2024353000000_aid0001,_250m_16_days_EVI,aid0001,2024-12-18,1.0,0.3001,0.3001,"(0.3001,0.3001)",0.3001,0.0,0.0,0.3001,0.3001,0.3001,0.3001,0.3001
MOD13Q1_061__250m_16_days_EVI_doy2025001000000_aid0001,_250m_16_days_EVI,aid0001,2025-01-01,1.0,0.2859,0.2859,"(0.2859,0.2859)",0.2859,0.0,0.0,0.2859,0.2859,0.2859,0.2859,0.2859
MOD13Q1_061__250m_16_days_EVI_doy2025017000000_aid0001,_250m_16_days_EVI,aid0001,2025-01-17,1.0,0.5623,0.5623,"(0.5623,0.5623)",0.5623,0.0,0.0,0.5623,0.5623,0.5623,0.5623,0.5623
MOD13Q1_061__250m_16_days_EVI_doy2025033000000_aid0001,_250m_16_days_EVI,aid0001,2025-02-02,1.0,0.0779,0.0779,"(0.0779,0.0779)",0.0779,0.0,0.0,0.0779,0.0779,0.0779,0.0779,0.0779
MOD13Q1_061__250m_16_days_EVI_doy2025049000000_aid0001,_250m_16_days_EVI,aid0001,2025-02-18,1.0,0.6577,0.6577,"(0.6577,0.6577)",0.6577,0.0,0.0,0.6577,0.6577,0.6577,0.6577,0.6577
MOD13Q1_061__250m_16_days_EVI_doy2025065000000_aid0001,_250m_16_days_EVI,aid0001,2025-03-06,1.0,0.419,0.419,"(0.419,0.419)",0.419,0.0,0.0,0.419,0.419,0.419,0.419,0.419
MOD13Q1_061__250m_16_days_EVI_doy2025081000000_aid0001,_250m_16_days_EVI,aid0001,2025-03-22,1.0,0.2643,0.2643,"(0.2643,0.2643)",0.2643,0.0,0.0,0.2643,0.2643,0.2643,0.2643,0.2643
MOD13Q1_061__250m_16_days_EVI_doy2025097000000_aid0001,_250m_16_days_EVI,aid0001,2025-04-07,1.0,0.5196,0.5196,"(0.5196,0.5196)",0.5196,0.0,0.0,0.5196,0.5196,0.5196,0.5196,0.5196
MOD13Q1_061__250m_16_days_EVI_doy2025113000000_aid0001,_250m_16_days_EVI,aid0001,2025-04-23,1.0,0.5372,0.5372,"(0.5372,0.5372)",0.5372,0.0,0.0,0.5372,0.5372,0.5372,0.5372,0.5372
MOD13Q1_061__250m_16_days_EVI_doy2025129000000_aid0001,_250m_16_days_EVI,aid0001,2025-05-09,1.0,0.4765,0.4765,"(0.4765,0.4765)",0.4765,0.0,0.0,0.4765,0.4765,0.4765,0.4765,0.4765
MOD13Q1_061__250m_16_days_EVI_doy2025145000000_aid0001,_250m_16_days_EVI,aid0001,2025-05-25,1.0,0.5713,0.5713,"(0.5713,0.5713)",0.5713,0.0,0.0,0.5713,0.5713,0.5713,0.5713,0.5713
MOD13Q1_061__250m_16_days_EVI_doy2025161000000_aid0001,_250m_16_days_EVI,aid0001,2025-06-10,1.0,0.5178,0.5178,"(0.5178,0.5178)",0.5178,0.0,0.0,0.5178,0.5178,0.5178,0.5178,0.5178
MOD13Q1_061__250m_16_days_EVI_doy2025177000000_aid0001,_250m_16_days_EVI,aid0001,2025-06-26,1.0,0.5433,0.5433,"(0.5433,0.5433)",0.5433,0.0,0.0,0.5433,0.5433,0.5433,0.5433,0.5433
MOD13Q1_061__250m_16_days_EVI_doy2025193000000_aid0001,_250m_16_days_EVI,aid0001,2025-07-12,1.0,0.6521,0.6521,"(0.6521,0.6521)",0.6521,0.0,0.0,0.6521,0.6521,0.6521,0.6521,0.6521
MOD13Q1_061__250m_16_days_EVI_doy2025209000000_aid0001,_250m_16_days_EVI,aid0001,2025-07-28,1.0,0.606,0.606,"(0.606,0.606)",0.606,0.0,0.0,0.606,0.606,0.606,0.606,0.606
MOD13Q1_061__250m_16_days_EVI_doy2025225000000_aid0001,_250m_16_days_EVI,aid0001,2025-08-13,1.0,0.4943,0.4943,"(0.4943,0.4943)",0.4943,0.0,0.0,0.4943,0.4943,0.4943,0.4943,0.4943
MOD13Q1_061__250m_16_days_EVI_doy2025241000000_aid0001,_250m_16_days_EVI,aid0001,2025-08-29,1.0,0.4713,0.4713,"(0.4713,0.4713)",0.4713,0.0,0.0,0.4713,0.4713,0.4713,0.4713,0.4713
MOD13Q1_061__250m_16_days_EVI_doy2025257000000_aid0001,_250m_16_days_EVI,aid0001,2025-09-14,1.0,0.6592,0.6592,"(0.6592,0.6592)",0.6592,0.0,0.0,0.6592,0.6592,0.6592,0.6592,0.6592
MOD13Q1_061__250m_16_days_EVI_doy2025273000000_aid0001,_250m_16_days_EVI,aid0001,2025-09-30,1.0,0.7914,0.7914,"(0.7914,0.7914)",0.7914,0.0,0.0,0.7914,0.7914,0.7914,0.7914,0.7914
MOD13Q1_061__250m_16_days_EVI_doy2025289000000_aid0001,_250m_16_days_EVI,aid0001,2025-10-16,1.0,0.353,0.353,"(0.353,0.353)",0.353,0.0,0.0,0.353,0.353,0.353,0.353,0.353
MOD13Q1_061__250m_16_days_NDVI_doy2024353000000_aid0001,_250m_16_days_NDVI,aid0001,2024-12-18,1.0,0.5555,0.5555,"(0.5555,0.5555)",0.5555,0.0,0.0,0.5555,0.5555,0.5555,0.5555,0.5555
MOD13Q1_061__250m_16_days_NDVI_doy2025001000000_aid0001,_250m_16_days_NDVI,aid0001,2025-01-01,1.0,0.7599,0.7599,"(0.7599,0.7599)",0.7599,0.0,0.0,0.7599,0.7599,0.7599,0.7599,0.7599
MOD13Q1_061__250m_16_days_NDVI_doy2025017000000_aid0001,_250m_16_days_NDVI,aid0001,2025-01-17,1.0,0.8534,0.8534,"(0.8534,0.8534)",0.8534,0.0,0.0,0.8534,0.8534,0.8534,0.8534,0.8534
MOD13Q1_061__250m_16_days_NDVI_doy2025033000000_aid0001,_250m_16_days_NDVI,aid0001,2025-02-02,1.0,0.0823,0.0823,"(0.0823,0.0823)",0.0823,0.0,0.0,0.0823,0.0823,0.0823,0.0823,0.0823
MOD13Q1_061__250m_16_days_NDVI_doy2025049000000_aid0001,_250m_16_days_NDVI,aid0001,2025-02-18,1.0,0.8593,0.8593,"(0.8593,0.8593)",0.8593,0.0,0.0,0.8593,0.8593,0.8593,0.8593,0.8593
MOD13Q1_061__250m_16_days_NDVI_doy2025065000000_aid0001,_250m_16_days_NDVI,aid0001,2025-03-06,1.0,0.5249,0.5249,"(0.5249,0.5249)",0.5249,0.0,0.0,0.5249,0.5249,0.5249,0.5249,0.5249
MOD13Q1_061__250m_16_days_NDVI_doy2025081000000_aid0001,_250m_16_days_NDVI,aid0001,2025-03-22,1.0,0.5655,0.5655,"(0.5655,0.5655)",0.5655,0.0,0.0,0.5655,0.5655,0.5655,0.5655,0.5655
MOD13Q1_061__250m_16_days_NDVI_doy2025097000000_aid0001,_250m_16_days_NDVI,aid0001,2025-04-07,1.0,0.7212,0.7212,"(0.7212,0.7212)",0.7212,0.0,0.0,0.7212,0.7212,0.7212,0.7212,0.7212
MOD13Q1_061__250m_16_days_NDVI_doy2025113000000_aid0001,_250m_16_days_NDVI,aid0001,2025-04-23,1.0,0.8902,0.8902,"(0.8902,0.8902)",0.8902,0.0,0.0,0.8902,0.8902,0.8902,0.8902,0.8902
MOD13Q1_061__250m_16_days_NDVI_doy2025129000000_aid0001,_250m_16_days_NDVI,aid0001,2025-05-09,1.0,0.5239,0.5239,"(0.5239,0.5239)",0.5239,0.0,0.0,0.5239,0.5239,0.5239,0.5239,0.5239
MOD13Q1_061__250m_16_days_NDVI_doy2025145000000_aid0001,_250m_16_days_NDVI,aid0001,2025-05-25,1.0,0.876,0.876,"(0.876,0.876)",0.876,0.0,0.0,0.876,0.876,0.876,0.876,0.876
MOD13Q1_061__250m_16_days_NDVI_doy2025161000000_aid0001,_250m_16_days_NDVI,aid0001,2025-06-10,1.0,0.8726,0.8726,"(0.8726,0.8726)",0.8726,0.0,0.0,0.8726,0.8726,0.8726,0.8726,0.8726
MOD13Q1_061__250m_16_days_NDVI_doy2025177000000_aid0001,_250m_16_days_NDVI,aid0001,2025-06-26,1.0,0.8747,0.8747,"(0.8747,0.8747)",0.8747,0.0,0.0,0.8747,0.8747,0.8747,0.8747,0.8747
MOD13Q1_061__250m_16_days_NDVI_doy2025193000000_aid0001,_250m_16_days_NDVI,aid0001,2025-07-12,1.0,0.8842,0.8842,"(0.8842,0.8842)",0.8842,0.0,0.0,0.8842,0.8842,0.8842,0.8842,0.8842
MOD13Q1_061__250m_16_days_NDVI_doy2025209000000_aid0001,_250m_16_days_NDVI,aid0001,2025-07-28,1.0,0.8655,0.8655,"(0.8655,0.8655)",0.8655,0.0,0.0,0.8655,0.8655,0.8655,0.8655,0.8655
MOD13Q1_061__250m_16_days_NDVI_doy2025225000000_aid0001,_250m_16_days_NDVI,aid0001,2025-08-13,1.0,0.8743,0.8743,"(0.8743,0.8743)",0.8743,0.0,0.0,0.8743,0.8743,0.8743,0.8743,0.8743
MOD13Q1_061__250m_16_days_NDVI_doy2025241000000_aid0001,_250m_16_days_NDVI,aid0001,2025-08-29,1.0,0.8615,0.8615,"(0.8615,0.8615)",0.8615,0.0,0.0,0.8615,0.8615,0.8615,0.8615,0.8615
MOD13Q1_061__250m_16_days_NDVI_doy2025257000000_aid0001,_250m_16_days_NDVI,aid0001,2025-09-14,1.0,0.8106,0.8106,"(0.8106,0.8106)",0.8106,0.0,0.0,0.8106,0.8106,0.8106,0.8106,0.8106
MOD13Q1_061__250m_16_days_NDVI_doy2025273000000_aid0001,_250m_16_days_NDVI,aid0001,2025-09-30,1.0,0.8102,0.8102,"(0.8102,0.8102)",0.8102,0.0,0.0,0.8102,0.8102,0.8102,0.8102,0.8102
MOD13Q1_061__250m_16_days_NDVI_doy2025289000000_aid0001,_250m_16_days_NDVI,aid0001,2025-10-16,1.0,0.5137,0.5137,"(0.5137,0.5137)",0.5137,0.0,0.0,0.5137,0.5137,0.5137,0.5137,0.5137
